dates,brand,total_users_reached,total_cost,sponsored_products_s,sponsored_products_u,sponsored_brands_s,sponsored_brands_u,video_s,video_u,OTT_s,OTT_u,sponsored_display_s,sponsored_display_u,display_s,display_u,sales,converted_users
2022-09-18,Brand C,1635493,25163.396839999994,0.0,0,0.0,0,592.4130499999991,31417,16587.868999999995,317762,0.0,0,7983.114790000001,1286314,16911.51,4337
2022-09-18,Brand G,1542526,18315.040200000018,8727.670000000013,3978,0.0,0,0.0,0,0.0,0,0.0,0,9587.370200000005,1538548,33074.53,4219
2022-09-18,Brand LA,743995,5063.419529999998,0.0,0,0.0,0,188.59257999999983,17594,0.0,0,0.0,0,4874.826949999999,726401,2528.66,685
2022-09-18,Brand LO,7030224,56079.093750000044,24364.54000000004,11210,0.0,0,0.0,0,0.0,0,0.0,0,31714.553750000006,7019014,82521.35,11168
2022-09-18,Brand M,2362659,34637.491960000014,21239.349999999995,19351,0.0,0,0.0,0,0.0,0,0.0,0,13398.141960000015,2343308,65979.06,11563
2022-09-18,Brand N,3065719,25263.03749999999,13338.590000000006,13464,0.0,0,0.0,0,0.0,0,6.83,5,11917.617499999986,3052250,38431.52,7056
2022-09-18,Brand R,658336,7240.330999999997,211.1900000000001,130,0.0,0,0.0,0,0.0,0,0.0,0,7029.140999999997,658206,12214.6,1186
2022-09-19,Brand C,1804003,23219.104579999996,0.0,0,0.0,0,649.8591699999994,39260,14482.550750000004,283971,0.0,0,8086.694659999992,1480772,16963.44,4591
2022-09-19,Brand G,1527283,16840.11373999999,7475.640000000001,3338,0.0,0,0.0,0,0.0,0,0.0,0,9364.473739999989,1523945,31948.28,4001
2022-09-19,Brand LA,941680,5078.675140000002,0.0,0,0.0,0,222.9415699999998,23218,0.0,0,0.0,0,4855.733570000002,918462,2029.47,715
2022-09-19,Brand LO,7186668,56175.04844000004,23111.170000000027,10881,0.0,0,0.0,0,0.0,0,0.0,0,33063.878440000015,7175787,82462.38,11476
2022-09-19,Brand M,2669918,31620.77917999994,17940.139999999945,15475,0.0,0,0.0,0,0.0,0,0.0,0,13680.639179999993,2654443,56106.77,10725
2022-09-19,Brand N,3063601,24020.996649999957,10620.999999999984,11067,0.0,0,0.0,0,0.0,0,21.17,14,13378.826649999974,3052520,37830.15,6836
2022-09-19,Brand R,672358,7158.270589999995,258.85,155,0.0,0,0.0,0,0.0,0,0.0,0,6899.420589999994,672203,12425.53,1188
2022-09-20,Brand C,1806363,26375.259140000016,0.0,0,0.0,0,662.7089099999996,41302,17235.56085,312951,0.0,0,8476.989380000014,1452110,16294.04,4460
2022-09-20,Brand G,1619791,16866.397369999977,6942.289999999997,3109,0.0,0,0.0,0,0.0,0,0.0,0,9924.107369999982,1616682,32072.2,4021
2022-09-20,Brand LA,908637,5101.6178999999975,0.0,0,0.0,0,239.26602000000017,28193,0.0,0,0.0,0,4862.351879999997,880444,2334.8,711
2022-09-20,Brand LO,6988708,57759.01110999999,24050.939999999977,11552,0.0,0,0.0,0,0.0,0,0.0,0,33708.07111000002,6977156,84855.01,11666
2022-09-20,Brand M,2736147,34040.01285000002,18337.69000000003,15834,0.0,0,0.0,0,0.0,0,0.0,0,15702.322849999991,2720313,57817.58,10923
2022-09-20,Brand N,2966306,23667.483239999983,10796.869999999994,11059,0.0,0,0.0,0,0.0,0,20.380000000000003,12,12850.23323999999,2955235,38809.84,6860
2022-09-20,Brand R,679149,7369.94866,249.11,179,0.0,0,0.0,0,0.0,0,0.0,0,7120.83866,678970,12426.28,1212
2022-09-21,Brand C,1707860,24208.36455999999,0.0,0,0.0,0,636.7427299999994,32808,15919.271499999984,294037,0.0,0,7652.350330000007,1381015,18258.37,4401
2022-09-21,Brand G,1653213,16354.71422999997,6573.179999999986,3066,0.0,0,0.0,0,0.0,0,0.0,0,9781.534229999985,1650147,34484.22,4084
2022-09-21,Brand LA,903963,5050.445949999999,0.0,0,0.0,0,206.7865399999998,23152,0.0,0,0.0,0,4843.659409999999,880811,2640.22,758
2022-09-21,Brand LO,7454614,57053.48590999997,24487.790000000008,11459,0.0,0,0.0,0,0.0,0,0.0,0,32565.69590999996,7443155,89777.97,12110
2022-09-21,Brand M,2723785,34171.508839999995,18569.23999999999,15694,0.0,0,0.0,0,0.0,0,0.0,0,15602.268840000008,2708091,61273.34,11162
2022-09-21,Brand N,2481477,22657.55816,10683.190000000011,11419,0.0,0,218.4544100000001,24579,0.0,0,16.96,10,11738.953749999991,2445469,39215.0,7064
2022-09-21,Brand R,659543,7444.469880000021,180.7499999999999,121,0.0,0,0.0,0,0.0,0,0.0,0,7263.719880000021,659422,12692.62,1116
2022-09-22,Brand C,1650055,24089.055349999962,0.0,0,0.0,0,607.0578100000017,28207,15556.64594999996,285794,0.0,0,7925.351590000003,1336054,14914.16,4127
2022-09-22,Brand G,1534673,15998.667909999986,6673.729999999997,3130,0.0,0,0.0,0,0.0,0,0.0,0,9324.93790999999,1531543,32879.73,3723
2022-09-22,Brand LA,867571,5029.950230000013,0.0,0,0.0,0,198.69834000000031,24239,0.0,0,0.0,0,4831.251890000013,843332,2686.57,778
2022-09-22,Brand LO,7853553,57347.18322000002,25932.409999999985,12006,0.0,0,0.0,0,0.0,0,0.0,0,31414.773220000032,7841547,85142.68,11897
2022-09-22,Brand M,2459401,32797.96364,18115.119999999977,15153,0.0,0,0.0,0,0.0,0,0.0,0,14682.843640000025,2444248,56443.0,11068
2022-09-22,Brand N,2453458,23024.825159999964,10890.829999999982,11380,0.0,0,192.89403,23203,0.0,0,3.62,3,11937.481129999982,2418872,38784.12,6941
2022-09-22,Brand R,552049,6988.382430000007,113.74999999999996,71,0.0,0,0.0,0,0.0,0,0.0,0,6874.632430000007,551978,10460.9,1049
2022-09-23,Brand C,1711277,24955.946329999962,0.0,0,0.0,0,611.4632200000018,30387,15755.279249999963,290470,0.0,0,8589.203859999996,1390420,14839.03,3916
2022-09-23,Brand G,1670302,16954.425579999985,6702.099999999989,2892,0.0,0,0.0,0,0.0,0,0.0,0,10252.325579999995,1667410,28842.97,3480
2022-09-23,Brand LA,783693,4905.4580400000095,0.0,0,0.0,0,192.60199,19148,0.0,0,0.0,0,4712.856050000009,764545,2202.87,733
2022-09-23,Brand LO,7696511,62821.7596699999,28931.72999999996,12150,0.0,0,0.0,0,0.0,0,0.0,0,33890.02966999994,7684361,86016.99,12036
2022-09-23,Brand M,2378001,32021.739389999988,17827.049999999985,14601,0.0,0,0.0,0,0.0,0,0.0,0,14194.689390000003,2363400,54691.02,10609
2022-09-23,Brand N,2523932,24176.838239999975,11178.77999999998,10920,0.0,0,310.75887999999964,36038,0.0,0,7.15,4,12680.149359999994,2476970,35942.82,6753
2022-09-23,Brand R,615188,7693.07893000001,122.09000000000005,74,0.0,0,0.0,0,0.0,0,0.0,0,7570.9889300000095,615114,11146.23,1002
2022-09-24,Brand C,1676056,25122.778080000026,0.0,0,0.0,0,626.4059099999995,34730,15692.026150000023,294876,0.0,0,8804.34602,1346450,13495.26,3451
2022-09-24,Brand G,1429965,16229.275299999981,6869.009999999989,3002,0.0,0,0.0,0,0.0,0,0.0,0,9360.265299999992,1426963,27116.3,3242
2022-09-24,Brand LA,642111,4917.388739999997,0.0,0,0.0,0,184.9537899999996,17063,0.0,0,0.0,0,4732.434949999997,625048,1740.02,717
2022-09-24,Brand LO,7212273,83424.92727999989,29878.009999999947,12653,0.0,0,0.0,0,18232.53539999998,389182,0.0,0,35314.38187999996,6810438,82192.84,11377
2022-09-24,Brand M,2189093,31497.932550000012,18075.850000000035,14944,0.0,0,0.0,0,0.0,0,0.0,0,13422.082549999976,2174149,48772.89,9545
2022-09-24,Brand N,2516772,24938.861670000002,11734.729999999992,12163,0.0,0,320.2281900000001,34324,0.0,0,13.37,9,12870.53348000001,2470276,35544.36,6649
2022-09-24,Brand R,632391,7495.155999999993,109.25,78,0.0,0,0.0,0,0.0,0,0.0,0,7385.905999999993,632313,10500.18,955
2022-09-25,Brand C,1843611,25973.877039999996,0.0,0,0.0,0,594.4856100000003,32536,15676.08195,294919,0.0,0,9703.309479999996,1516156,13772.58,3852
2022-09-25,Brand G,1445009,16942.301990000007,7447.979999999987,3574,0.0,0,0.0,0,0.0,0,0.0,0,9494.32199000002,1441435,31168.44,3658
2022-09-25,Brand LA,661029,4992.976049999992,0.0,0,0.0,0,176.0982400000002,15523,0.0,0,0.0,0,4816.877809999992,645506,2532.93,736
2022-09-25,Brand LO,6815697,74523.80325999988,32935.95999999996,14118,0.0,0,0.0,0,6690.516599999998,208344,0.0,0,34897.326659999926,6593235,87791.31,12411
2022-09-25,Brand M,2234900,32445.707049999997,19028.31999999999,16878,0.0,0,0.0,0,0.0,0,0.0,0,13417.387050000008,2218022,57228.87,10640
